Dimension,mass_per_metre,D(mm),B(mm),t(mm),T(mm),r(mm),d(mm),d/t,b/T,I_xx(cm4),I_yy(cm4),Z_xx(cm3),Z_yy(cm3),S_xx(cm3),S_yy(cm3)
1016 x 305 x 584,584.00,1056.00,314.0,36.0,64.0,30.0,868.1,24.1,2.45,1246000,33400,23600,2130,28000.00,3480.00
1016 x 305 x 494,494.0,1036.0,309.0,31.0,54.0,30.0,868.1,28.0,2.86,1028000,26800,19800,1740,23400,2820
1016 x 305 x 438,438.0,1026.0,305.0,26.9,49.0,30.0,868.1,32.3,3.11,910000,23400,17700,1540,20800,2470
1016 x 305 x 415,415.0,1020.0,304.0,26.0,46.0,30.0,868.1,33.4,3.30,853000,21700,16700,1430,19600,2300
1016 x 305 x 393,392.7,1015.90,303.0,24.4,43.9,30.0,868.1,35.6,3.45,808000,20500,15900,1350,18500,2170
1016 x 305 x 350,350.0,1008.0,302.0,21.1,40.0,30.0,868.1,41.1,3.78,723000,18500,14300,1220,16600,1940
1016 x 305 x 314,314.3,999.9,300.0,19.1,35.9,30.0,868.1,45.5,4.18,644000,16200,12900,1080,14800,1710
1016 x 305 x 272,272.3,990.1,300.0,16.5,31.0,30.0,868.1,52.6,4.84,554000,14000,11200,934,12800,1470
1016 x 305 x 249,248.7,980.1,300.0,16.5,26.0,30.0,868.1,52.6,5.77,481000,11800,9820,784,11300,1240
1016 x 305 x 222,222.0,970.3,300.0,16.0,21.1,30.0,868.1,54.3,7.11,408000,9550,8410,636,9810,1020
914 x 419 x 388,388.0,921.0,420.5,21.4,36.6,24.1,799.6,37.4,5.74,720000,45400,15600,2160,17700,3340
914 x 419 x 343,343.3,911.8,418.5,19.4,32.0,24.1,799.6,41.2,6.54,626000,39200,13700,1870,15500,2890
914 x 305 x 576,576.0,993.0,322.0,36.1,65.0,19.0,824.8,22.8,2.48,1102000,36500,22200,2270,26300,3660
914 x 305 x 521,521.0,981.0,319.0,33.0,58.9,19.0,824.8,25.0,2.71,982000,32100,20000,2020,23600,3240
914 x 305 x 474,474.0,971.0,316.0,30.0,54.1,19.0,824.8,27.5,2.92,886000,28700,18200,1810,21400,2900
914 x 305 x 425,425.0,961.0,313.0,26.9,49.0,19.0,824.8,30.7,3.19,788000,25200,16400,1610,19100,2560
914 x 305 x 381,381.0,951.0,310.0,24.4,43.9,19.0,824.8,33.8,3.53,697000,21900,14600,1410,17000,2240
914 x 305 x 345,345.0,943.0,308.0,22.1,39.9,19.0,824.8,37.3,3.86,626000,19500,13300,1270,15400,2000
914 x 305 x 313,313.0,932.0,309.0,21.1,34.5,19.0,824.8,39.1,4.48,548000,17000,11800,1100,13600,1750
914 x 305 x 289,289.1,926.6,307.7,19.5,32.0,19.1,824.4,42.3,4.81,504000,15600,10900,1010,12600,1600
914 x 305 x 271,271.0,923.0,307.0,18.4,30.0,19.0,824.8,44.8,5.12,472000,14500,10200,946,11800,1490
914 x 305 x 253,253.4,918.4,305.5,17.3,27.9,19.1,824.4,47.7,5.47,436000,13300,9500,871,10900,1370
914 x 305 x 238,238.0,915.0,305.0,16.5,25.9,19.0,824.8,50.0,5.89,406000,12300,8880,806,10200,1270
914 x 305 x 224,224.2,910.4,304.1,15.9,23.9,19.1,824.4,51.8,6.36,376000,11200,8270,739,9530,1160
914 x 305 x 201,200.9,903.0,303.3,15.1,20.2,19.1,824.4,54.6,7.51,325000,9420,7200,621,8350,982
838 x 292 x 226,226.5,850.9,293.8,16.1,26.8,17.8,761.7,47.3,5.48,340000,11400,7980,773,9160,1210
838 x 292 x 194,193.8,840.7,292.4,14.7,21.7,17.8,761.7,51.8,6.74,279000,9070,6640,620,7640,974
838 x 292 x 176,175.9,834.9,291.7,14.0,18.8,17.8,761.7,54.4,7.76,246000,7800,5890,535,6810,842
762 x 267 x 197,196.8,769.8,268.0,15.6,25.4,16.5,686.0,44.0,5.28,240000,8170,6230,610,7170,958
762 x 267 x 173,173.0,762.2,266.7,14.3,21.6,16.5,686.0,48.0,6.17,205000,6850,5390,514,6200,807
762 x 267 x 147,146.9,754.0,265.2,12.8,17.5,16.5,686.0,53.6,7.58,169000,5460,4470,411,5160,647
762 x 267 x 134,133.9,750.0,264.4,12.0,15.5,16.5,686.0,57.2,8.53,151000,4790,4020,362,4640,570
686 x 254 x 170,170.2,692.9,255.8,14.5,23.7,15.2,615.1,42.4,5.40,170000,6630,4920,518,5630,811
686 x 254 x 152,152.4,687.5,254.5,13.2,21.0,15.2,615.1,46.6,6.06,150000,5780,4370,455,5000,710
686 x 254 x 140,140.1,683.5,253.7,12.4,19.0,15.2,615.1,49.6,6.68,136000,5180,3990,409,4560,638
686 x 254 x 125,125.2,677.9,253.0,11.7,16.2,15.2,615.1,52.6,7.81,118000,4380,3480,346,3990,542
610 x 305 x 238,238.1,635.8,311.4,18.4,31.4,16.5,540.0,29.3,4.96,209000,15800,6590,1020,7490,1570
610 x 305 x 179,179.0,620.2,307.1,14.1,23.6,16.5,540.0,38.3,6.51,153000,11400,4930,743,5550,1140
610 x 305 x 149,149.2,612.4,304.8,11.8,19.7,16.5,540.0,45.8,7.74,126000,9310,4110,611,4590,937
610 x 229 x 140,139.9,617.2,230.2,13.1,22.1,12.7,547.6,41.8,5.21,112000,4510,3620,391,4140,611
610 x 229 x 125,125.1,612.2,229.0,11.9,19.6,12.7,547.6,46.0,5.84,98600,3930,3220,343,3680,535
610 x 229 x 113,113.0,607.6,228.2,11.1,17.3,12.7,547.6,49.3,6.60,87300,3430,2870,301,3280,469
610 x 229 x 101,101.2,602.6,227.6,10.5,14.8,12.7,547.6,52.2,7.69,75800,2910,2520,256,2880,400
610 x 178 x 100,100.3,607.4,179.2,11.3,17.2,12.7,547.6,48.5,5.21,72500,1660,2390,185,2790,296
610 x 178 x 92,92.2,603.0,178.8,10.9,15.0,12.7,547.6,50.2,5.96,64600,1440,2140,161,2510,258
610 x 178 x 82,81.8,598.6,177.9,10.0,12.8,12.7,547.6,54.8,6.95,55900,1210,1870,136,2190,218
533 x 312 x 273,273.3,577.1,320.2,21.1,37.6,12.7,476.5,22.6,4.26,199000,20600,6890,1290,7870,1990
533 x 312 x 219,218.8,560.3,317.4,18.3,29.2,12.7,476.5,26.0,5.43,151000,15600,5400,982,6120,1510
533 x 312 x 182,181.5,550.7,314.5,15.2,24.4,12.7,476.5,31.3,6.44,123000,12700,4480,806,5040,1240
533 x 312 x 151,150.6,542.5,312.0,12.7,20.3,12.7,476.5,37.5,7.68,101000,10300,3710,659,4150,1010
533 x 210 x 138,138.3,549.1,213.9,14.7,23.6,12.7,476.5,32.4,4.53,86100,3860,3140,361,3610,568
533 x 210 x 122,122.0,544.5,211.9,12.7,21.3,12.7,476.5,37.5,4.97,76000,3390,2790,320,3200,500
533 x 210 x 109,109.0,539.5,210.8,11.6,18.8,12.7,476.5,41.1,5.61,66800,2940,2480,279,2830,436
533 x 210 x 101,101.0,536.7,210.0,10.8,17.4,12.7,476.5,44.1,6.03,61500,2690,2290,256,2610,399
533 x 210 x 92,92.1,533.1,209.3,10.1,15.6,12.7,476.5,47.2,6.71,55200,2390,2070,228,2360,355
533 x 210 x 82,82.2,528.3,208.8,9.6,13.2,12.7,476.5,49.6,7.91,47500,2010,1800,192,2060,300
533 x 165 x 85,84.8,534.9,166.5,10.3,16.5,12.7,476.5,46.3,5.05,48500,1270,1820,153,2100,243
533 x 165 x 75,74.7,529.1,165.9,9.7,13.6,12.7,476.5,49.1,6.10,41100,1040,1550,125,1810,200
533 x 165 x 66,65.7,524.7,165.1,8.9,11.4,12.7,476.5,53.5,7.24,35000,859,1340,104,1560,166
457 x 191 x 161,161.4,492.0,199.4,18.0,32.0,10.2,407.6,22.6,3.12,79800,4250,3240,426,3780,672
457 x 191 x 133,133.3,480.6,196.7,15.3,26.3,10.2,407.6,26.6,3.74,63800,3350,2660,341,3070,535
457 x 191 x 106,105.8,469.2,194.0,12.6,20.6,10.2,407.6,32.3,4.71,48900,2510,2080,259,2390,405
457 x 191 x 98,98.3,467.2,192.8,11.4,19.6,10.2,407.6,35.8,4.92,45700,2350,1960,243,2230,379
457 x 191 x 89,89.3,463.4,191.9,10.5,17.7,10.2,407.6,38.8,5.42,41000,2090,1770,218,2010,338
457 x 191 x 82,82.0,460.0,191.3,9.9,16.0,10.2,407.6,41.2,5.98,37100,1870,1610,196,1830,304
457 x 191 x 74,74.3,457.0,190.4,9.0,14.5,10.2,407.6,45.3,6.57,33300,1670,1460,176,1650,272
457 x 191 x 67,67.1,453.4,189.9,8.5,12.7,10.2,407.6,48.0,7.48,29400,1450,1300,153,1470,237
457 x 152 x 82,82.1,465.8,155.3,10.5,18.9,10.2,407.6,38.8,4.11,36600,1180,1570,153,1810,240
457 x 152 x 74,74.2,462.0,154.4,9.6,17.0,10.2,407.6,42.5,4.54,32700,1050,1410,136,1630,213
